1,  Save ,3,5,1,พินโญ สัมฤทธิ์,1
2,Passing,5,11,1,พินโญ สัมฤทธิ์,1
3,Save Penalty,0,1,1,พินโญ สัมฤทธิ์,1
4,Duel 1-1,0,1,1,พินโญ สัมฤทธิ์,1
5,  Save ,5,5,1,จามรวุฒิ แก้วจรูญ,2
6,Passing,11,11,1,จามรวุฒิ แก้วจรูญ,2
7,Save Penalty,1,1,1,จามรวุฒิ แก้วจรูญ,2
8,Duel 1-1,3,3,1,จามรวุฒิ แก้วจรูญ,2
9,Passing,18,25,1,นพรัตน์ วงษา,3
10,Intercept,3,5,1,นพรัตน์ วงษา,3
11,Heading,6,6,1,นพรัตน์ วงษา,3
12,Tackle,5,5,1,นพรัตน์ วงษา,3
13,Passing,28,28,1,เถกิงศักดิ์ ดำรงมั่น,4
14,Intercept,7,7,1,เถกิงศักดิ์ ดำรงมั่น,4
15,Heading,17,17,1,เถกิงศักดิ์ ดำรงมั่น,4
16,Tackle,4,4,1,เถกิงศักดิ์ ดำรงมั่น,4
17,Passing,17,35,1,ชัยชนะ เจริญสิทธิ์,5
18,Intercept,2,6,1,ชัยชนะ เจริญสิทธิ์,5
19,Heading,0,9,1,ชัยชนะ เจริญสิทธิ์,5
20,Tackle,4,6,1,ชัยชนะ เจริญสิทธิ์,5
21,Passing,20,34,1,ศิวะ กรนุ่ม,6
22,Intercept,4,4,1,ศิวะ กรนุ่ม,6
23,Heading,1,5,1,ศิวะ กรนุ่ม,6
24,Tackle,3,5,1,ศิวะ กรนุ่ม,6
25, Passing,35,35,1,ณัชพล มีทุม,7
26,Dribbling,5,6,1,ณัชพล มีทุม,7
27, Intercept,5,5,1,ณัชพล มีทุม,7
28,Shooting,1,1,1,ณัชพล มีทุม,7
29,Heading,2,6,1,ณัชพล มีทุม,7
30, Passing,29,34,1,จิราเจต พ่วงรอด,8
31,Dribbling,7,9,1,จิราเจต พ่วงรอด,8
32, Intercept,3,4,1,จิราเจต พ่วงรอด,8
33,Shooting,3,3,1,จิราเจต พ่วงรอด,8
34,Heading,5,6,1,จิราเจต พ่วงรอด,8
35, Passing,33,40,1,เฉลิมชัย วงษ์พันเสือ,9
36,Dribbling,5,7,1,เฉลิมชัย วงษ์พันเสือ,9
37, Intercept,2,4,1,เฉลิมชัย วงษ์พันเสือ,9
38,Shooting,1,5,1,เฉลิมชัย วงษ์พันเสือ,9
39,Heading,1,3,1,เฉลิมชัย วงษ์พันเสือ,9
40, Passing,20,30,1,พงศธร พยัคเกษมโสภณ,10
41, Shooting,2,5,1,พงศธร พยัคเกษมโสภณ,10
42,Heading,2,4,1,พงศธร พยัคเกษมโสภณ,10
43,Dribbling,6,10,1,พงศธร พยัคเกษมโสภณ,10
44, Passing,18,20,1,ศรราม ม่วงหมี,11
45, Shooting,0,5,1,ศรราม ม่วงหมี,11
46,Heading,9,14,1,ศรราม ม่วงหมี,11
47,Dribbling,3,6,1,ศรราม ม่วงหมี,11
48, Passing,16,25,1,ธนากร ตุ้มทอง,12
49, Shooting,3,3,1,ธนากร ตุ้มทอง,12
50,Heading,2,3,1,ธนากร ตุ้มทอง,12
51,Dribbling,10,12,1,ธนากร ตุ้มทอง,12
52,  Save ,3,3,2,พินโญ สัมฤทธิ์,1
53,Passing,7,10,2,พินโญ สัมฤทธิ์,1
54,Save Penalty,0,1,2,พินโญ สัมฤทธิ์,1
55,Duel 1-1,1,2,2,พินโญ สัมฤทธิ์,1
56,  Save ,3,3,2,จามรวุฒิ แก้วจรูญ,2
57,Passing,7,8,2,จามรวุฒิ แก้วจรูญ,2
58,Save Penalty,1,1,2,จามรวุฒิ แก้วจรูญ,2
59,Duel 1-1,2,2,2,จามรวุฒิ แก้วจรูญ,2
60,Passing,22,24,2,นพรัตน์ วงษา,3
61,Intercept,5,6,2,นพรัตน์ วงษา,3
62,Heading,3,3,2,นพรัตน์ วงษา,3
63,Tackle,4,5,2,นพรัตน์ วงษา,3
64,Passing,27,27,2,เถกิงศักดิ์ ดำรงมั่น,4
65,Intercept,2,5,2,เถกิงศักดิ์ ดำรงมั่น,4
66,Heading,15,16,2,เถกิงศักดิ์ ดำรงมั่น,4
67,Tackle,3,3,2,เถกิงศักดิ์ ดำรงมั่น,4
68,Passing,38,38,2,ชัยชนะ เจริญสิทธิ์,5
69,Intercept,5,6,2,ชัยชนะ เจริญสิทธิ์,5
70,Heading,6,8,2,ชัยชนะ เจริญสิทธิ์,5
71,Tackle,1,5,2,ชัยชนะ เจริญสิทธิ์,5
72,Passing,32,39,2,ศิวะ กรนุ่ม,6
73,Intercept,4,4,2,ศิวะ กรนุ่ม,6
74,Heading,2,3,2,ศิวะ กรนุ่ม,6
75,Tackle,4,5,2,ศิวะ กรนุ่ม,6
76, Passing,40,42,2,ณัชพล มีทุม,7
77,Dribbling,4,6,2,ณัชพล มีทุม,7
78, Intercept,4,4,2,ณัชพล มีทุม,7
79,Shooting,0,1,2,ณัชพล มีทุม,7
80,Heading,2,3,2,ณัชพล มีทุม,7
81, Passing,33,39,2,จิราเจต พ่วงรอด,8
82,Dribbling,8,11,2,จิราเจต พ่วงรอด,8
83, Intercept,3,4,2,จิราเจต พ่วงรอด,8
84,Shooting,2,3,2,จิราเจต พ่วงรอด,8
85,Heading,7,8,2,จิราเจต พ่วงรอด,8
86, Passing,38,45,2,เฉลิมชัย วงษ์พันเสือ,9
87,Dribbling,6,7,2,เฉลิมชัย วงษ์พันเสือ,9
88, Intercept,0,2,2,เฉลิมชัย วงษ์พันเสือ,9
89,Shooting,1,4,2,เฉลิมชัย วงษ์พันเสือ,9
90,Heading,0,1,2,เฉลิมชัย วงษ์พันเสือ,9
91, Passing,26,34,2,พงศธร พยัคเกษมโสภณ,10
92, Shooting,2,3,2,พงศธร พยัคเกษมโสภณ,10
93,Heading,1,5,2,พงศธร พยัคเกษมโสภณ,10
94,Dribbling,13,16,2,พงศธร พยัคเกษมโสภณ,10
95, Passing,19,24,2,ศรราม ม่วงหมี,11
96, Shooting,1,10,2,ศรราม ม่วงหมี,11
97,Heading,11,16,2,ศรราม ม่วงหมี,11
98,Dribbling,2,4,2,ศรราม ม่วงหมี,11
99, Passing,19,27,2,ธนากร ตุ้มทอง,12
100, Shooting,2,2,2,ธนากร ตุ้มทอง,12
101,Heading,0,2,2,ธนากร ตุ้มทอง,12
102,Dribbling,11,14,2,ธนากร ตุ้มทอง,12
